City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
541,Sinnamary,GF,77.32,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
546,Namatanai,PG,86.34,broken clouds,-3.6667,152.4333,Namatanai Hotel
549,Nisia Floresta,BR,78.8,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
552,Manokwari,ID,82.74,heavy intensity rain,-0.8667,134.0833,Swiss Belhotel Manokwari
553,Ballina,AU,82.4,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
558,Ahuimanu,US,78.8,light rain,21.4447,-157.8378,Paradise Bay Resort
559,Biak,ID,81.93,light rain,-0.9131,122.8766,Penginapan Kim
563,Daru,PG,82.04,overcast clouds,-9.0763,143.2092,Daru Lodge
566,Augusto Correa,BR,76.86,broken clouds,-1.0217,-46.635,Fazenda Bacuri
567,Bani,DO,77.0,few clouds,18.2833,-70.3333,Hospedaje Henriquez
578,Pitimbu,BR,75.2,clear sky,-7.4706,-34.8086,Reserva do Abiaí
580,West Bay,KY,78.01,few clouds,19.3667,-81.4167,Calypso Cove
582,Port Moresby,PG,89.6,haze,-9.4431,147.1797,Lamana Hotel
586,Kilinochchi,LK,79.25,overcast clouds,9.3961,80.3982,Solaivanam Guest House
588,Vangaindrano,MG,77.77,clear sky,-23.35,47.6,Hotel Fanilo
589,Marang,MY,80.6,scattered clouds,5.2056,103.2059,DBarakah Homestay
590,Nha Trang,VN,80.6,clear sky,12.25,109.1833,Hanoi Golden Hotel
598,Kon Tum,VN,83.7,clear sky,14.35,108.0,Hoa đà spa- homestay
600,Mareeba,AU,88.0,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
601,The Valley,AI,77.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
604,Kapoeta,SS,78.94,broken clouds,4.7717,33.5903,Eastgate Hotel
605,Kralendijk,BQ,78.8,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
610,Manggar,ID,84.27,light rain,-2.8833,108.2667,Guest Hotel
612,Soure,BR,78.62,light rain,-0.7167,-48.5233,Casarão
615,Concepcion Del Uruguay,AR,79.0,clear sky,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
619,Kahului,US,77.0,clear sky,20.8947,-156.47,Maui Seaside Hotel
620,Puerto Carreno,CO,77.74,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
621,Yeppoon,AU,77.0,broken clouds,-23.1333,150.7333,Villa Mar Colina
633,Kalianget,ID,83.64,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
634,Hobyo,SO,77.45,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
636,Merauke,ID,86.77,light rain,-8.4667,140.3333,
637,Iquitos,PE,75.2,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
639,Auki,SB,84.72,overcast clouds,-8.7676,160.7034,Auki Motel
646,Kununurra,AU,87.8,overcast clouds,-15.7667,128.7333,Hotel Kununurra
648,Ambulu,ID,86.11,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
660,Alegrete,BR,77.56,broken clouds,-29.7831,-55.7919,Hotel Alegrete
663,Pemangkat,ID,81.27,overcast clouds,1.1667,108.9667,Kost H.Syamsuddin
681,General Roca,AR,78.8,clear sky,-39.0333,-67.5833,Hotel El Recreo
683,Vung Tau,VN,80.08,few clouds,10.345999999999998,107.0843,Seaside Resort
688,Touros,BR,77.0,few clouds,-5.1989,-35.4608,INN NEW HORIZON
692,Tiarei,PF,82.4,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
693,Dondo,MZ,75.87,overcast clouds,-19.6094,34.7431,Arco Iris
695,Porto Novo,BJ,76.01,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
698,Phan Thiet,VN,82.65,broken clouds,10.9333,108.1,Hotel Saigon-PT
699,Olutanga,PH,82.18,overcast clouds,7.3106,122.8464,Morales Lodge
706,Imbituba,BR,75.2,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
707,Lucea,JM,77.0,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
