City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
267,Graaff-Reinet,ZA,2021-01-20 17:55:15,-32.2522,24.5308,75.99,56,0,7.0
268,Gweru,ZW,2021-01-20 17:55:16,-19.45,29.8167,64.78,97,58,4.03
269,Srandakan,ID,2021-01-20 17:55:17,-7.9386,110.2506,78.39,84,100,2.44
270,Evensk,RU,2021-01-20 17:55:17,61.95,159.2333,-14.57,76,11,8.43
271,Talcahuano,CL,2021-01-20 17:55:17,-36.7167,-73.1167,59.0,88,90,12.66
272,Asau,RO,2021-01-20 17:55:17,46.4333,26.4,34.0,93,75,9.22
273,Indramayu,ID,2021-01-20 17:55:17,-6.3264,108.32,79.21,81,100,6.93
274,Saint-Tite,CA,2021-01-20 17:55:18,46.7334,-72.5658,19.99,67,96,3.44
275,Iqaluit,CA,2021-01-20 17:55:18,63.7506,-68.5145,5.0,72,75,17.27
276,Ruteng,ID,2021-01-20 17:55:19,-8.6136,120.4721,62.49,100,100,0.98
277,Wanning,CN,2021-01-20 17:55:19,18.8003,110.3967,69.78,92,81,6.49
278,Beloha,MG,2021-01-20 17:55:19,-25.1667,45.05,78.37,82,32,17.81
279,Masuguru,TZ,2021-01-20 17:55:20,-11.3667,38.4167,77.76,82,97,2.68
280,Roma,US,2021-01-20 17:55:20,43.2128,-75.4557,28.99,68,90,13.8
281,Komsomolskiy,UZ,2021-01-20 17:55:21,40.4272,71.7189,46.4,46,43,11.5
282,Palmer,US,2021-01-20 17:51:49,42.1584,-72.3287,37.4,56,75,11.5
283,Camacha,PT,2021-01-20 17:55:22,33.0833,-16.3333,64.4,77,20,13.8
284,Aldan,RU,2021-01-20 17:55:22,58.6031,125.3894,-24.03,85,100,3.94
285,Tuktoyaktuk,CA,2021-01-20 17:55:22,69.4541,-133.0374,-2.2,84,90,5.75
286,Dhidhdhoo,MV,2021-01-20 17:54:42,6.8833,73.1,81.54,72,2,8.37
287,Itarema,BR,2021-01-20 17:55:22,-2.9248,-39.9167,84.54,64,83,15.64
288,Marsaxlokk,MT,2021-01-20 17:55:22,35.8419,14.5431,57.0,71,20,10.36
289,Sinop,TR,2021-01-20 17:55:23,41.7711,34.8709,23.54,90,40,9.62
290,Tomatlan,MX,2021-01-20 17:55:24,19.9333,-105.25,82.87,50,98,5.03
291,Bengkulu,ID,2021-01-20 17:55:24,-3.8004,102.2655,77.52,81,99,6.42
292,Villa Bruzual,VE,2021-01-20 17:55:25,9.3328,-69.1208,91.87,41,71,3.06
293,Lorengau,PG,2021-01-20 17:55:27,-2.0226,147.2712,81.57,76,100,10.74
